2022-07-11 09:10:35.455 | INFO     | __main__:main:57 - Load config from configs/neo_large.yaml
2022-07-11 09:10:35.456 | INFO     | __main__:main:58 - {'dataset': {'data_path': '/home/s/WLIv5_pub_noud', 'train_data_path': ['/home/s/WLIv5_pub_noud/Train'], 'test_data_path': ['/home/s/WLIv5_pub_noud/Test'], 'val_data_path': ['/home/s/WLIv5_pub_noud/Test']}, 'model': {'num_classes': 3, 'save_dir': '/home/s/hungpv/polyps/checkpoints/neo_large_v4', 'backbone': 'MiT-B3', 'head': 'UPerHead', 'pretrained': '/home/s/hungpv/polyps/pretrained_models/mit_b3.pth'}, 'optimizer': {'name': 'adam', 'lr': 0.0001, 'clip': 0.5, 'scheduler': 'cosine_warmup', 'loss': 'CELoss'}, 'dev': 'cuda', 'train': {'start_from': 0, 'save_from': 59, 'num_epochs': 60, 'num_warmup_epoch': 4, 'is_val': True, 'size_rates': [0.75, 1, 1.25], 'dataloader': {'batchsize': 16, 'img_size': 352, 'shuffle': True, 'num_workers': 4, 'pin_memory': True, 'drop_last': True}, 'amp': False, 'ddp': False, 'augment': {'prob': 1, 'Flip_prob': 0.5, 'HueSaturationValue_prob': 0.5, 'RandomBrightnessContrast_prob': 0.5, 'randomrotate90_prob': 0.5}}, 'val': {'dataloader': {'batchsize': 8, 'img_size': 352, 'shuffle': True, 'num_workers': 4, 'pin_memory': True, 'drop_last': False}}, 'test': {'dev': 'cuda', 'visualize': False, 'visualize_dir': '/mnt/data/hungpv/polyps/visualize', 'vis_x': 180, 'vis_overwrite': False, 'checkpoint_dir': '/home/s/hungpv/polyps/checkpoints/neo_large_v4/MiT-B3-UPerHead_best.pth', 'dataloader': {'batchsize': 1, 'img_size': 352, 'shuffle': True, 'num_workers': 4, 'pin_memory': True, 'drop_last': False}, 'augment': {'prob': 1, 'Flip_prob': 0, 'HueSaturationValue_prob': 0, 'RandomBrightnessContrast_prob': 0, 'crop_prob': 0, 'randomrotate90_prob': 0, 'elastictransform_prob': 0, 'gridistortion_prob': 0, 'opticaldistortion_prob': 0, 'verticalflip_prob': 0, 'horizontalflip_prob': 0, 'randomgamma_prob': 0, 'CoarseDropout_prob': 0, 'RGBShift_prob': 0, 'MotionBlur_prob': 0, 'MedianBlur_prob': 0, 'GaussianBlur_prob': 0, 'GaussNoise_prob': 0, 'ChannelShuffle_prob': 0}}}
2022-07-11 09:10:35.456 | INFO     | __main__:main:59 - Getting datapath
2022-07-11 09:10:35.481 | INFO     | __main__:main:74 - There are 5277 images to train
2022-07-11 09:10:35.488 | INFO     | __main__:main:91 - There are 1353 images to val
2022-07-11 09:10:35.488 | INFO     | __main__:main:95 - Loading data
2022-07-11 09:10:36.271 | INFO     | __main__:main:109 - 329 batches to train
2022-07-11 09:10:36.472 | INFO     | __main__:main:122 - Loading model
2022-07-11 09:10:36.472 | INFO     | __main__:main:143 - Loading checkpoint from /home/s/hungpv/polyps/pretrained_models/mit_b3.pth ...
2022-07-11 09:10:39.554 | INFO     | __main__:main:186 - Training with FP32 ...
2022-07-11 09:17:26.152 | INFO     | tools.trainer:val_loop:201 - Valid | Epoch [000/000], with lr = 1.25e-05, Step [0169],                    [val_loss: 0.2206]
2022-07-11 09:17:26.249 | INFO     | aux.metrics.metrics:show:228 - Evaluate polyp
2022-07-11 09:17:26.250 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.534 | IOU: 0.380
2022-07-11 09:17:26.250 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.542 | IOU: 0.372
2022-07-11 09:17:26.250 | INFO     | aux.metrics.metrics:show:228 - Evaluate neo
2022-07-11 09:17:26.250 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.592 | IOU: 0.444
2022-07-11 09:17:26.250 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.612 | IOU: 0.440
2022-07-11 09:17:26.251 | INFO     | aux.metrics.metrics:show:228 - Evaluate non
2022-07-11 09:17:26.251 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.023 | IOU: 0.015
2022-07-11 09:17:26.251 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.016 | IOU: 0.008
2022-07-11 09:17:26.672 | INFO     | tools.trainer:train_loop:113 - [Saving Snapshot:]/home/s/hungpv/polyps/checkpoints/neo_large_v4/MiT-B3-UPerHead_best.pth
2022-07-11 09:24:12.161 | INFO     | tools.trainer:val_loop:201 - Valid | Epoch [001/001], with lr = 1.25e-05, Step [0169],                    [val_loss: 0.2676]
2022-07-11 09:24:12.254 | INFO     | aux.metrics.metrics:show:228 - Evaluate polyp
2022-07-11 09:24:12.254 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.670 | IOU: 0.520
2022-07-11 09:24:12.254 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.680 | IOU: 0.515
2022-07-11 09:24:12.255 | INFO     | aux.metrics.metrics:show:228 - Evaluate neo
2022-07-11 09:24:12.255 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.677 | IOU: 0.532
2022-07-11 09:24:12.255 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.700 | IOU: 0.539
2022-07-11 09:24:12.255 | INFO     | aux.metrics.metrics:show:228 - Evaluate non
2022-07-11 09:24:12.255 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.020 | IOU: 0.013
2022-07-11 09:24:12.255 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.011 | IOU: 0.006
2022-07-11 09:24:12.706 | INFO     | tools.trainer:train_loop:113 - [Saving Snapshot:]/home/s/hungpv/polyps/checkpoints/neo_large_v4/MiT-B3-UPerHead_best.pth
2022-07-11 09:30:58.345 | INFO     | tools.trainer:val_loop:201 - Valid | Epoch [002/002], with lr = 3.4375e-05, Step [0169],                    [val_loss: 0.1791]
2022-07-11 09:30:58.425 | INFO     | aux.metrics.metrics:show:228 - Evaluate polyp
2022-07-11 09:30:58.426 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.647 | IOU: 0.499
2022-07-11 09:30:58.426 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.668 | IOU: 0.501
2022-07-11 09:30:58.426 | INFO     | aux.metrics.metrics:show:228 - Evaluate neo
2022-07-11 09:30:58.426 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.682 | IOU: 0.545
2022-07-11 09:30:58.426 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.717 | IOU: 0.559
2022-07-11 09:30:58.426 | INFO     | aux.metrics.metrics:show:228 - Evaluate non
2022-07-11 09:30:58.427 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.018 | IOU: 0.012
2022-07-11 09:30:58.427 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.009 | IOU: 0.005
2022-07-11 09:30:58.871 | INFO     | tools.trainer:train_loop:113 - [Saving Snapshot:]/home/s/hungpv/polyps/checkpoints/neo_large_v4/MiT-B3-UPerHead_best.pth
2022-07-11 09:30:59.300 | INFO     | tools.trainer:train_loop:135 - [Saving Snapshot:]/home/s/hungpv/polyps/checkpoints/neo_large_v4/MiT-B3-UPerHead_3.pth
2022-07-11 09:37:45.895 | INFO     | tools.trainer:val_loop:201 - Valid | Epoch [003/003], with lr = 5.6250000000000005e-05, Step [0169],                    [val_loss: 0.1185]
2022-07-11 09:37:45.984 | INFO     | aux.metrics.metrics:show:228 - Evaluate polyp
2022-07-11 09:37:45.984 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.690 | IOU: 0.546
2022-07-11 09:37:45.984 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.705 | IOU: 0.545
2022-07-11 09:37:45.985 | INFO     | aux.metrics.metrics:show:228 - Evaluate neo
2022-07-11 09:37:45.985 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.707 | IOU: 0.574
2022-07-11 09:37:45.985 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.748 | IOU: 0.597
2022-07-11 09:37:45.985 | INFO     | aux.metrics.metrics:show:228 - Evaluate non
2022-07-11 09:37:45.985 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.001 | IOU: 0.000
2022-07-11 09:37:45.985 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.000 | IOU: 0.000
2022-07-11 09:37:46.439 | INFO     | tools.trainer:train_loop:113 - [Saving Snapshot:]/home/s/hungpv/polyps/checkpoints/neo_large_v4/MiT-B3-UPerHead_best.pth
2022-07-11 09:44:33.800 | INFO     | tools.trainer:val_loop:201 - Valid | Epoch [004/004], with lr = 7.8125e-05, Step [0169],                    [val_loss: 0.0807]
2022-07-11 09:44:33.891 | INFO     | aux.metrics.metrics:show:228 - Evaluate polyp
2022-07-11 09:44:33.891 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.722 | IOU: 0.582
2022-07-11 09:44:33.892 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.733 | IOU: 0.578
2022-07-11 09:44:33.892 | INFO     | aux.metrics.metrics:show:228 - Evaluate neo
2022-07-11 09:44:33.892 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.716 | IOU: 0.580
2022-07-11 09:44:33.892 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.752 | IOU: 0.602
2022-07-11 09:44:33.892 | INFO     | aux.metrics.metrics:show:228 - Evaluate non
2022-07-11 09:44:33.892 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.066 | IOU: 0.040
2022-07-11 09:44:33.893 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.047 | IOU: 0.024
2022-07-11 09:44:34.345 | INFO     | tools.trainer:train_loop:113 - [Saving Snapshot:]/home/s/hungpv/polyps/checkpoints/neo_large_v4/MiT-B3-UPerHead_best.pth
2022-07-11 09:51:21.044 | INFO     | tools.trainer:val_loop:201 - Valid | Epoch [005/005], with lr = 0.0001, Step [0169],                    [val_loss: 0.1138]
2022-07-11 09:51:21.144 | INFO     | aux.metrics.metrics:show:228 - Evaluate polyp
2022-07-11 09:51:21.145 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.755 | IOU: 0.626
2022-07-11 09:51:21.145 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.766 | IOU: 0.621
2022-07-11 09:51:21.145 | INFO     | aux.metrics.metrics:show:228 - Evaluate neo
2022-07-11 09:51:21.145 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.737 | IOU: 0.608
2022-07-11 09:51:21.145 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.779 | IOU: 0.638
2022-07-11 09:51:21.146 | INFO     | aux.metrics.metrics:show:228 - Evaluate non
2022-07-11 09:51:21.146 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.067 | IOU: 0.040
2022-07-11 09:51:21.146 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.045 | IOU: 0.023
2022-07-11 09:51:21.593 | INFO     | tools.trainer:train_loop:113 - [Saving Snapshot:]/home/s/hungpv/polyps/checkpoints/neo_large_v4/MiT-B3-UPerHead_best.pth
2022-07-11 09:58:08.190 | INFO     | tools.trainer:val_loop:201 - Valid | Epoch [006/006], with lr = 0.0001, Step [0169],                    [val_loss: 0.1431]
2022-07-11 09:58:08.289 | INFO     | aux.metrics.metrics:show:228 - Evaluate polyp
2022-07-11 09:58:08.289 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.825 | IOU: 0.718
2022-07-11 09:58:08.290 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.834 | IOU: 0.715
2022-07-11 09:58:08.290 | INFO     | aux.metrics.metrics:show:228 - Evaluate neo
2022-07-11 09:58:08.290 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.772 | IOU: 0.661
2022-07-11 09:58:08.290 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.823 | IOU: 0.699
2022-07-11 09:58:08.290 | INFO     | aux.metrics.metrics:show:228 - Evaluate non
2022-07-11 09:58:08.290 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.341 | IOU: 0.228
2022-07-11 09:58:08.291 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.285 | IOU: 0.166
2022-07-11 09:58:08.741 | INFO     | tools.trainer:train_loop:113 - [Saving Snapshot:]/home/s/hungpv/polyps/checkpoints/neo_large_v4/MiT-B3-UPerHead_best.pth
2022-07-11 10:04:55.321 | INFO     | tools.trainer:val_loop:201 - Valid | Epoch [007/007], with lr = 9.972609476841367e-05, Step [0169],                    [val_loss: 0.0875]
2022-07-11 10:04:55.424 | INFO     | aux.metrics.metrics:show:228 - Evaluate polyp
2022-07-11 10:04:55.424 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.784 | IOU: 0.659
2022-07-11 10:04:55.424 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.790 | IOU: 0.652
2022-07-11 10:04:55.425 | INFO     | aux.metrics.metrics:show:228 - Evaluate neo
2022-07-11 10:04:55.425 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.740 | IOU: 0.609
2022-07-11 10:04:55.425 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.779 | IOU: 0.638
2022-07-11 10:04:55.425 | INFO     | aux.metrics.metrics:show:228 - Evaluate non
2022-07-11 10:04:55.425 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.063 | IOU: 0.035
2022-07-11 10:04:55.425 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.044 | IOU: 0.023
2022-07-11 10:11:42.037 | INFO     | tools.trainer:val_loop:201 - Valid | Epoch [008/008], with lr = 9.938441702975689e-05, Step [0169],                    [val_loss: 0.0905]
2022-07-11 10:11:42.140 | INFO     | aux.metrics.metrics:show:228 - Evaluate polyp
2022-07-11 10:11:42.140 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.847 | IOU: 0.748
2022-07-11 10:11:42.141 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.846 | IOU: 0.734
2022-07-11 10:11:42.141 | INFO     | aux.metrics.metrics:show:228 - Evaluate neo
2022-07-11 10:11:42.141 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.745 | IOU: 0.623
2022-07-11 10:11:42.141 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.789 | IOU: 0.651
2022-07-11 10:11:42.141 | INFO     | aux.metrics.metrics:show:228 - Evaluate non
2022-07-11 10:11:42.141 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.285 | IOU: 0.188
2022-07-11 10:11:42.141 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.236 | IOU: 0.134
2022-07-11 10:18:27.918 | INFO     | tools.trainer:val_loop:201 - Valid | Epoch [009/009], with lr = 9.890738003669029e-05, Step [0169],                    [val_loss: 0.0913]
2022-07-11 10:18:28.010 | INFO     | aux.metrics.metrics:show:228 - Evaluate polyp
2022-07-11 10:18:28.010 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.811 | IOU: 0.701
2022-07-11 10:18:28.010 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.820 | IOU: 0.696
2022-07-11 10:18:28.010 | INFO     | aux.metrics.metrics:show:228 - Evaluate neo
2022-07-11 10:18:28.011 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.747 | IOU: 0.630
2022-07-11 10:18:28.011 | INFO     | aux.metrics.metrics:show:233 - Micro scores: Dice: 0.798 | IOU: 0.665
2022-07-11 10:18:28.011 | INFO     | aux.metrics.metrics:show:228 - Evaluate non
2022-07-11 10:18:28.011 | INFO     | aux.metrics.metrics:show:229 - Macro scores: Dice: 0.293 | IOU: 0.197
